"family","id","kind","directDamage","source","damageType","delivery","technique","theme"
"card","strike","attack","true","weapon","equipped source","delivery:melee","",""
"card","defend","skill","false","","","","",""
"card","technique","skill","false","","","","",""
"card","evasiveGuard","skill","false","","","","",""
"card","dodgeRoll","skill","false","","","","",""
"card","gorefireSlash","attack","true","weapon","equipped source","delivery:melee","","theme:blood"
"card","crimsonCleave","attack","true","weapon","equipped source","delivery:area|delivery:melee","technique:cleave","theme:blood"
"card","shieldBash","attack","true","weapon","equipped source","delivery:melee","",""
"card","quickstep","skill","false","","","","technique:flourish",""
"card","guardCounter","attack","true","weapon","equipped source","delivery:melee","technique:flourish|technique:counter",""
"card","ironResolve","skill","false","","","","",""
"card","serratedBlade","attack","true","weapon","equipped source","delivery:melee","","theme:blood"
"card","enterGorefire","skill","false","","","","","theme:oath|theme:stance|theme:blood"
"card","enterBulwark","skill","false","","","","","theme:oath|theme:stance"
"card","riposte","attack","true","weapon","equipped source","delivery:melee","technique:flourish|technique:counter",""
"card","rend","attack","true","weapon","equipped source","delivery:melee","","theme:blood"
"card","cleavingBlow","attack","true","weapon","equipped source","delivery:area|delivery:melee","technique:cleave",""
"card","stomp","attack","true","unarmed","blunt","delivery:melee","",""
"card","rallyingStandard","power","false","","","","",""
"card","warSurgeon","skill","false","","","","",""
"card","hemorrhage","skill","false","","","","","theme:blood"
"card","twinbladeFlurry","attack","true","weapon","equipped source","delivery:melee","",""
"card","shieldwall","skill","false","","","","",""
"card","kickOff","attack","true","unarmed","blunt","delivery:melee","",""
"card","wardingLunge","skill","false","","","","",""
"card","impale","attack","true","weapon","equipped source","delivery:melee","",""
"card","warcry","skill","false","","","","",""
"card","executioner","attack","true","weapon","equipped source","delivery:melee","",""
"card","goreblood","power","false","","","","","theme:blood"
"card","unbreakable","power","false","","","","",""
"card","stitchedArms","attack","true","weapon","equipped source","delivery:melee","",""
"card","lastStand","skill","false","","","","",""
"card","warriorsVow","skill","false","","","","",""
"card","ruinousBlow","attack","true","weapon","equipped source","delivery:melee","technique:heavy",""
"card","bloodhuntersStrike","attack","true","weapon","equipped source","delivery:melee","","theme:blood"
"card","sanguinePactCard","power","false","","","","","theme:blood"
"card","goreslash","attack","true","weapon","equipped source","delivery:melee","","theme:blood"
"card","bracingStance","skill","false","","","","",""
"card","flameToBlade","attack","true","weapon","equipped source","delivery:melee","",""
"card","ironVowCard","power","false","","","","",""
"card","bloodTithe","attack","true","weapon","equipped source","delivery:melee","","theme:blood"
"card","poiseBreaker","attack","true","weapon","equipped source","delivery:melee","technique:heavy",""
"card","rondelParry","skill","false","","","","technique:counter",""
"card","sunderplate","attack","true","weapon","equipped source","delivery:melee","technique:heavy",""
