buildId,scenarioId,seed,result,turns,actions,hp,stamina,mana,impact,bleeds,staggers,manaSpent,completed
heavy,basic,1,victory,3,10,80,2,1,19,0,1,0,
heavy,basic,2,victory,2,7,80,0,1,17,0,0,0,
heavy,basic,3,victory,3,9,80,4,1,19,0,1,0,
heavy,basic,4,victory,3,10,75,3,1,19,0,1,0,
heavy,basic,5,victory,2,7,67,0,1,17,0,0,0,
heavy,basic,6,victory,3,9,80,4,1,19,0,1,0,
heavy,basic,7,victory,2,7,80,0,1,19,0,1,0,
heavy,basic,8,victory,2,7,80,0,1,19,0,1,0,
heavy,basic,9,victory,2,7,80,0,1,17,0,0,0,
heavy,basic,10,victory,3,11,80,0,1,19,0,1,0,
heavy,basic,11,victory,3,9,75,1,1,19,0,1,0,
heavy,basic,12,victory,2,7,67,0,1,17,0,0,0,
heavy,basic,13,victory,3,10,75,3,1,19,0,1,0,
heavy,basic,14,victory,3,9,75,1,1,19,0,1,0,
heavy,basic,15,victory,3,10,75,4,1,19,0,1,0,
heavy,basic,16,victory,2,7,67,0,1,19,0,1,0,
heavy,basic,17,victory,3,9,80,4,1,19,0,1,0,
heavy,basic,18,victory,3,10,75,3,1,19,0,1,0,
heavy,basic,19,victory,3,10,69,1,1,18,0,1,0,
heavy,basic,20,victory,2,6,67,2,1,19,0,1,0,
heavy,basic,21,victory,3,9,75,2,1,19,0,1,0,
heavy,basic,22,victory,3,9,75,1,1,19,0,1,0,
heavy,basic,23,victory,3,9,80,4,1,19,0,1,0,
heavy,basic,24,victory,2,7,67,0,1,19,0,1,0,
heavy,basic,25,victory,2,7,67,0,1,17,0,0,0,
heavy,basic,26,victory,3,9,75,1,1,19,0,1,0,
heavy,basic,27,victory,2,7,67,0,1,19,0,1,0,
heavy,basic,28,victory,3,9,80,4,1,19,0,1,0,
heavy,basic,29,victory,2,7,80,0,1,19,0,1,0,
heavy,basic,30,victory,3,9,67,3,1,17,0,0,0,
heavy,basic,31,victory,3,9,75,1,1,19,0,1,0,
heavy,basic,32,victory,3,9,80,4,1,19,0,1,0,
heavy,basic,33,victory,3,10,80,2,1,19,0,1,0,
heavy,basic,34,victory,3,9,80,4,1,19,0,1,0,
heavy,basic,35,victory,3,10,80,2,1,19,0,1,0,
heavy,basic,36,victory,3,10,80,2,1,19,0,1,0,
